iter	Passed	Remaining
333	2799	5582
334	2851	5660
335	2867	5666
336	2879	5664
337	2887	5655
338	2894	5643
339	2902	5633
340	2909	5622
341	2917	5612
342	2925	5603
343	2934	5595
344	2941	5584
345	2961	5597
346	2980	5608
347	3010	5640
348	3032	5656
349	3040	5646
350	3048	5637
351	3056	5626
352	3161	5793
353	3173	5791
354	3182	5782
355	3190	5771
356	3199	5761
357	3207	5751
358	3214	5739
359	3222	5728
360	3230	5717
361	3237	5705
362	3292	5777
363	3310	5784
364	3332	5797
365	3342	5790
366	3354	5785
367	3363	5775
368	3372	5767
369	3383	5760
370	3390	5748
371	3398	5737
372	3406	5726
373	3417	5720
374	3468	5781
375	3506	5818
376	3520	5818
377	3532	5812
378	3540	5801
379	3549	5791
380	3557	5779
381	3564	5767
382	3572	5755
383	3581	5744
384	3588	5732
385	3639	5789
386	3669	5813
387	3691	5822
388	3706	5821
389	3714	5810
390	3723	5799
391	3731	5788
392	3738	5774
393	3746	5762
394	3754	5750
395	3761	5737
396	3780	5742
397	3877	5864
398	3883	5849
399	3891	5837
400	3899	5825
401	3909	5816
402	3918	5804
403	3925	5790
404	3932	5778
405	3941	5765
406	3951	5756
407	3971	5762
408	4029	5821
409	4042	5817
410	4052	5807
411	4061	5796
412	4069	5783
413	4077	5771
414	4085	5759
415	4094	5747
416	4102	5735
417	4111	5724
418	4130	5727
419	4149	5730
420	4168	5733
421	4195	5746
422	4227	5766
423	4236	5755
424	4244	5742
425	4253	5730
426	4261	5719
427	4270	5707
428	4277	5693
429	4286	5682
430	4328	5714
431	4347	5715
432	4388	5746
433	4397	5735
434	4408	5726
435	4416	5713
436	4425	5701
437	4433	5688
438	4442	5676
439	4448	5662
440	4457	5649
441	4465	5637
442	4495	5651
443	4513	5652
444	4556	5682
445	4564	5669
446	4574	5658
447	4582	5646
448	4593	5637
449	4599	5622
450	4606	5607
451	4621	5602
452	4657	5624
453	4676	5624
454	4702	5632
455	4712	5621
456	4729	5619
457	4738	5607
458	4745	5592
459	4752	5579
460	4760	5566
461	4768	5553
462	4776	5540
463	4784	5526
464	4792	5514
465	4823	5527
466	4859	5545
467	4882	5550
468	4891	5537
469	4901	5526
470	4909	5513
471	4938	5524
472	4990	5560
473	5004	5553
474	5013	5540
475	5021	5527
476	5087	5578
477	5123	5595
478	5133	5583
479	5143	5571
480	5150	5557
481	5159	5544
482	5166	5530
483	5174	5516
484	5201	5523
485	5250	5552
486	5270	5551
487	5286	5546
488	5298	5536
489	5306	5523
490	5313	5508
491	5321	5494
492	5329	5481
493	5337	5467
494	5345	5453
495	5354	5440
496	5400	5465
497	5431	5474
498	5446	5468
499	5453	5453
500	5462	5441
501	5473	5429
502	5480	5415
503	5488	5400
504	5498	5389
505	5504	5374
506	5534	5381
507	5564	5388
508	5592	5394
509	5603	5383
510	5609	5368
511	5615	5352
512	5619	5334
513	5622	5316
514	5625	5297
515	5628	5279
516	5631	5261
517	5634	5243
518	5637	5224
519	5640	5206
520	5643	5188
521	5646	5170
522	5649	5152
523	5652	5134
524	5655	5116
525	5658	5098
526	5661	5081
527	5664	5063
528	5667	5045
529	5670	5028
530	5673	5010
531	5676	4993
532	5679	4976
533	5682	4958
534	5685	4941
535	5688	4924
536	5691	4907
537	5694	4890
538	5697	4872
539	5700	4855
540	5716	4850
541	5724	4837
542	5730	4822
543	5737	4809
544	5758	4807
545	5780	4806
546	5810	4812
547	5837	4815
548	5850	4806
549	5861	4795
550	5869	4782
551	5876	4769
552	5886	4757
553	5894	4745
554	5901	4731
555	5909	4719
556	5924	4712
557	5962	4722
558	5994	4728
559	6012	4723
560	6028	4717
561	6042	4708
562	6050	4696
563	6058	4683
564	6066	4670
565	6074	4657
566	6082	4644
567	6089	4631
568	6106	4625
569	6184	4665
570	6193	4653
571	6202	4640
572	6210	4627
573	6314	4686
574	6330	4679
575	6340	4667
576	6347	4653
577	6354	4639
578	6361	4625
579	6367	4611
580	6375	4597
581	6381	4583
582	6390	4570
583	6472	4610
584	6498	4610
585	6513	4601
586	6523	4589
587	6539	4581
588	6547	4569
589	6555	4555
590	6563	4542
591	6568	4527
592	6575	4513
593	6584	4500
594	6592	4487
595	6600	4473
596	6637	4480
597	6664	4479
598	6673	4467
599	6678	4452
600	6684	4437
601	6688	4422
602	6693	4406
603	6698	4391
604	6703	4376
605	6706	4360
606	6711	4345
607	6717	4330
608	6726	4318
609	6753	4317
610	6870	4374
611	6876	4359
612	6882	4345
613	6886	4329
614	6891	4313
615	6898	4300
616	6909	4289
617	6928	4282
618	6948	4276
619	6980	4278
620	6984	4262
621	6990	4248
622	6998	4235
623	7006	4222
624	7027	4216
625	7111	4248
626	7130	4241
627	7137	4227
628	7146	4214
629	7154	4202
630	7309	4274
631	7347	4278
632	7486	4340
633	7501	4330
634	7512	4318
635	7521	4304
636	7528	4290
637	7536	4276
638	7574	4279
639	7602	4276
640	7624	4270
641	7636	4258
642	7648	4246
643	7658	4233
644	7667	4219
645	7675	4206
646	7683	4191
647	7691	4178
648	7698	4163
649	7706	4149
650	7713	4134
651	7732	4127
652	7769	4128
653	7788	4120
654	7828	4123
655	7837	4110
656	7846	4096
657	7853	4081
658	7861	4067
659	7870	4054
660	7878	4040
661	7886	4026
662	7893	4012
663	7934	4015
664	7982	4021
665	7996	4010
666	8002	3995
667	8008	3980
668	8013	3964
669	8018	3949
670	8026	3935
671	8034	3921
672	8043	3908
673	8052	3894
674	8061	3881
675	8069	3867
676	8198	3911
677	8225	3906
678	8356	3950
679	8369	3938
680	8398	3933
681	8405	3919
682	8412	3904
683	8467	3911
684	8507	3912
685	8521	3900
686	8531	3886
687	8539	3872
688	8547	3858
689	8555	3843
690	8563	3829
691	8570	3814
692	8577	3799
693	8584	3785
694	8591	3770
695	8690	3795
696	8703	3783
697	8710	3768
698	8716	3753
699	8723	3738
700	8731	3724
701	8738	3709
702	8746	3695
703	8754	3681
704	8763	3666
705	8791	3661
706	8813	3652
707	8859	3653
708	8871	3641
709	8880	3627
710	8889	3613
711	8896	3598
712	8903	3583
713	8911	3569
714	8920	3555
715	8928	3541
716	8934	3526
717	8940	3511
718	8973	3507
719	9002	3500
720	9036	3496
721	9045	3482
722	9054	3468
723	9063	3455
724	9071	3440
725	9077	3426
726	9085	3411
727	9102	3400
728	9175	3410
729	9186	3397
730	9198	3384
731	9208	3371
732	9216	3357
733	9225	3343
734	9232	3328
735	9240	3314
736	9248	3300
737	9253	3285
738	9258	3269
739	9264	3254
740	9267	3239
741	9272	3224
742	9278	3209
743	9288	3195
744	9339	3196
745	9367	3189
746	9372	3174
747	9377	3159
748	9382	3144
749	9386	3128
750	9390	3113
751	9395	3098
752	9401	3084
753	9421	3073
754	9468	3072
755	9488	3062
756	9493	3047
757	9496	3031
758	9502	3017
759	9508	3002
760	9511	2987
761	9515	2972
762	9535	2962
763	9565	2954
764	9600	2949
765	9613	2936
766	9623	2923
767	9632	2909
768	9640	2895
769	9649	2882
770	9657	2868
771	9665	2854
772	9674	2841
773	9682	2827
774	9688	2812
775	9695	2798
776	9716	2788
777	9730	2776
778	9794	2778
779	9808	2766
780	9821	2753
781	9828	2739
782	9834	2725
783	9844	2712
784	9851	2698
785	9859	2684
786	9867	2670
787	9875	2656
788	9898	2647
789	9927	2638
790	9976	2635
791	9986	2622
792	9995	2609
793	10004	2595
794	10012	2581
795	10020	2568
796	10028	2554
797	10035	2540
798	10042	2526
799	10062	2515
800	10095	2508
801	10125	2499
802	10143	2488
803	10155	2475
804	10164	2462
805	10172	2448
806	10179	2434
807	10186	2420
808	10193	2406
809	10212	2395
810	10224	2382
811	10273	2378
812	10291	2367
813	10303	2354
814	10313	2340
815	10321	2327
816	10328	2313
817	10336	2299
818	10342	2285
819	10348	2271
820	10356	2258
821	10364	2244
822	10374	2231
823	10402	2221
824	10416	2209
825	10438	2198
826	10464	2189
827	10478	2176
828	10488	2163
829	10498	2150
830	10510	2137
831	10516	2123
832	10524	2109
833	10531	2096
834	10540	2082
835	10548	2069
836	10557	2055
837	10564	2042
838	10572	2028
839	10602	2019
840	10672	2017
841	10685	2005
842	10695	1991
843	10704	1978
844	10713	1965
845	10724	1952
846	10731	1938
847	10738	1924
848	10746	1911
849	10754	1897
850	10787	1888
851	10837	1882
852	10847	1869
853	10861	1856
854	10870	1843
855	10877	1829
856	10887	1816
857	10894	1803
858	10901	1789
859	10909	1775
860	10917	1762
861	10925	1749
862	10945	1737
863	10973	1727
864	11024	1720
865	11035	1707
866	11048	1694
867	11056	1681
868	11063	1667
869	11070	1654
870	11078	1640
871	11083	1626
872	11088	1613
873	11095	1599
874	11101	1585
875	11122	1574
876	11198	1570
877	11206	1557
878	11215	1543
879	11223	1530
880	11232	1517
881	11240	1503
882	11248	1490
883	11357	1490
884	11372	1477
885	11381	1464
886	11387	1450
887	11396	1437
888	11402	1423
889	11410	1410
890	11418	1396
891	11426	1383
892	11434	1370
893	11521	1366
894	11531	1352
895	11538	1339
896	11548	1326
897	11556	1312
898	11563	1299
899	11571	1285
900	11624	1277
901	11637	1264
902	11669	1253
903	11685	1240
904	11700	1228
905	11709	1214
906	11717	1201
907	11724	1187
908	11732	1174
909	11740	1161
910	11748	1147
911	11755	1134
912	11928	1136
913	11940	1123
914	11950	1110
915	11960	1096
916	11973	1083
917	11982	1070
918	11993	1057
919	12001	1043
920	12010	1030
921	12018	1016
922	12028	1003
923	12123	997
924	12134	983
925	12145	970
926	12154	957
927	12160	943
928	12167	929
929	12173	916
930	12182	902
931	12188	889
932	12196	875
933	12208	862
934	12221	849
935	12246	837
936	12305	827
937	12314	813
938	12323	800
939	12330	787
940	12337	773
941	12344	760
942	12353	746
943	12359	733
944	12365	719
945	12373	706
946	12389	693
947	12402	680
948	12422	667
949	12443	654
950	12472	642
951	12484	629
952	12494	616
953	12502	602
954	12511	589
955	12518	576
956	12526	562
957	12533	549
958	12541	536
959	12549	522
960	12557	509
961	12623	498
962	12684	487
963	12691	473
964	12699	460
965	12710	447
966	12721	434
967	12751	421
968	12770	408
969	12794	395
970	12810	382
971	12821	369
972	12833	356
973	12842	342
974	12849	329
975	12863	316
976	12871	303
977	12879	289
978	12899	276
979	12919	263
980	12967	251
981	12976	237
982	12984	224
983	12993	211
984	13001	197
985	13009	184
986	13018	171
987	13026	158
988	13045	145
989	13063	131
990	13083	118
991	13147	106
992	13178	92
993	13183	79
994	13187	66
995	13192	52
996	13196	39
997	13201	26
998	13205	13
999	13211	0
